@relation Cataclysm-DDA
@attribute nissuesbycreator integer
@attribute nissuesbycreatorclosed integer
@attribute ncommitsbycreator integer
@attribute nissuescreatedinproject integer
@attribute nissuescreatedinprojectclosed integer
@attribute ncommitsinproject integer
@attribute issuecleanedbodylen integer
@attribute timeopen integer
@data
0,0,0,0,0,10,604,30
1,0,1,2,0,36,1049,7
1,0,28,4,1,86,102,1
2,0,28,5,1,86,99,7
0,0,37,6,1,88,42,1
1,1,43,8,3,102,43,14
4,2,44,9,4,201,361,90
9,2,54,14,5,233,347,7
11,2,57,16,5,249,229,180
13,2,57,18,6,252,271,7
14,2,57,19,6,252,137,30
19,3,68,24,7,286,406,14
2,2,80,25,7,297,201,1
20,3,71,26,7,297,81,7
21,3,71,27,7,297,75,7
22,3,71,28,7,297,106,7
23,3,71,29,7,297,82,14
25,3,71,31,8,297,92,90
27,4,74,33,9,329,1821,90
28,4,76,34,9,339,141,90
31,7,90,37,12,381,144,14
0,0,4,39,12,396,118,7
0,0,13,40,12,396,0,1
33,7,94,41,12,398,67,1
1,0,4,43,12,404,0,1
36,8,96,46,15,439,232,90
37,8,96,47,15,439,173,90
40,8,113,50,16,500,116,7
0,0,0,51,18,507,169,1
41,10,113,52,18,509,168,30
42,10,113,53,18,509,148,1
50,11,130,61,20,582,612,30
0,0,0,72,20,615,97,1
1,0,0,74,22,644,147,1
1,0,13,77,24,675,5,1
0,0,0,78,27,681,371,90
0,0,0,79,27,716,130,1
54,14,165,80,28,720,257,30
55,14,167,83,29,741,551,90
56,14,167,84,29,767,265,90
0,0,28,3,1,86,139,90
3,2,11,87,30,834,49,1
58,15,175,88,31,846,260,7
59,15,175,89,31,846,20,7
60,15,181,90,31,862,97,1
0,0,0,91,34,900,326,1
4,0,0,95,34,903,1099,1
61,18,197,96,34,904,187,14
63,21,202,98,39,925,121,7
5,2,0,101,41,1068,337,90
68,25,239,108,43,1068,160,90
69,25,239,109,43,1068,231,90
2,0,0,110,43,1068,99,30
3,0,0,111,43,1068,120,90
0,0,0,119,43,1068,194,30
0,0,0,123,44,1071,118,30
0,0,0,131,44,1073,236,30
0,0,21,135,44,1080,144,90
1,0,21,136,44,1080,171,90
2,0,21,137,44,1081,397,7
0,0,0,140,44,1083,653,7
1,0,1,142,44,1083,173,1
2,0,0,143,45,1084,127,1
72,26,244,138,44,1081,133,7
3,0,21,144,47,1087,281,7
0,0,0,187,52,1133,379,1
1,0,2,185,51,1127,293,1
